Academic_Score,Score_on_Plays_Made,Missed_Play_Score,Injury_Propensity,School_Type,School_Score,Overall_Score,Region,Scholarship
6.4,0.22,0.38,Moderate,C,0.3,11,Western,Full
6.8,0.21,0.4,Moderate,B,0.53,12,Western,Partial
5.2,0.31,0.36,Normal,B,0.31,12.4,Western,Partial
7.9,0.34,0.44,Moderate,B,0.37,12.5,Eastern,Partial
5.6,0.42,0.34,Low,B,0.38,12.8,Western,Partial
6.4,0.22,0.38,Moderate,C,0.3,11,Western,Partial
6.8,0.28,0.34,Moderate,C,0.43,9.1,Southern,Full
6.8,0.45,0.36,Normal,B,0.4,12.4,Western,Partial
6.6,0.29,0.39,Moderate,B,0.8,12.9,Western,Full
6.8,0.21,0.42,Low,B,0.87,10.9,Eastern,Full
6.8,0.25,0.24,Low,C,0.58,10.8,Southern,Partial
6.4,0.21,0.34,High,C,0.38,10.6,Southern,Partial
5.8,0.33,0.23,Normal,C,0.52,9,Southern,Partial
8.2,0.3,0.44,High,C,0.33,12,Eastern,Full
6.4,0.24,0.32,Low,B,0.35,11.8,Southern,Partial
7.5,0.18,0.45,Normal,C,0.38,10.6,Eastern,Partial
5.2,0.335,0.2,Low,B,0.48,12.3,Eastern,Partial
7.1,0.14,0.33,Low,B,0.64,11.5,Eastern,Partial
7.2,0.13,0.46,Low,B,0.45,11.1,Southern,Full
5.8,0.33,0.23,Normal,C,0.52,9,Southern,Partial
6.5,0.29,0.25,Normal,C,0.44,9.9,Western,Partial
6.2,0.35,0.31,Normal,B,0.53,12.8,Western,Partial
9,0.38,0.53,Low,B,0.57,12.9,Southern,Partial
6.6,0.24,0.38,High,C,0.57,12.9,Eastern,Partial
6.6,0.16,0.34,Low,B,0.68,12,Eastern,Partial
8.2,0.3,0.44,High,C,0.33,12,Eastern,Partial
5.7,0.15,0.28,Normal,B,0.27,11.2,Eastern,Partial
6.6,0.33,0.4,Normal,B,0.39,13.3,Western,Partial
5.7,0.2,0.3,Normal,C,0.5,9.9,Eastern,Full
6.8,0.27,0.37,Moderate,C,0.52,9.5,Eastern,Partial
6.8,0.27,0.42,Moderate,C,0.49,9.4,Eastern,Partial
6.2,0.2,0.26,Low,B,0.6,11,Western,Partial
6.7,0.13,0.57,Moderate,C,0.43,9.4,Eastern,Full
6.8,0.21,0.37,Moderate,B,0.82,11.5,Eastern,Partial
6.7,0.31,0.32,High,C,0.34,12.5,Southern,Full
6.2,0.2,0.29,High,C,0.34,11.9,Eastern,Partial
6.6,0.25,0.34,Normal,C,0.47,10.4,Eastern,Partial
5.7,0.15,0.28,Normal,B,0.27,11.2,Eastern,Partial
6.9,0.22,0.39,Moderate,B,0.33,12.5,Eastern,Partial
6.4,0.23,0.35,Normal,B,0.4,11,Western,Partial
7.6,0.27,0.29,Normal,C,0.37,9.8,Southern,Partial
6.6,0.34,0.24,Normal,B,0.4,12.3,Western,Partial
6.4,0.16,0.42,Low,B,0.52,11,Eastern,Partial
5.8,0.3,0.42,Low,B,0.46,12.6,Western,Partial
7,0.29,0.35,Low,B,0.62,11.6,Eastern,Partial
6.6,0.34,0.24,Normal,B,0.4,12.3,Western,Partial
6.7,0.21,0.36,Moderate,B,0.22,13.4,Western,Partial
7.6,0.27,0.29,Normal,C,0.37,9.8,Southern,Partial
6.8,0.22,0.41,Moderate,B,0.46,11.5,Eastern,Full
7.7,0.27,0.49,Normal,B,0.38,11.6,Eastern,Partial
6.4,0.25,0.37,Normal,B,0.4,11.1,Western,Partial
6.4,0.23,0.35,Normal,B,0.4,11,Western,Partial
6.7,0.13,0.45,Normal,B,0.54,11.3,Eastern,Partial
6.7,0.24,0.37,High,C,0.53,9.9,Eastern,Partial
7.1,0.38,0.4,Low,B,0.5,11.4,Southern,Partial
7.4,0.19,0.31,High,D,0.5,9.2,Eastern,Partial
7.4,0.19,0.31,High,D,0.5,9.2,Eastern,Partial
7.4,0.19,0.31,High,D,0.5,9.2,Eastern,Partial
7.4,0.19,0.31,High,D,0.5,9.2,Eastern,Partial
7.4,0.19,0.31,High,D,0.5,9.2,Eastern,Partial
7.4,0.19,0.31,High,D,0.5,9.2,Eastern,Partial
6.3,0.32,0.32,Low,B,0.42,13,Southern,Full
7.6,0.19,0.32,High,A,0.5,9.3,Western,Partial
5.9,0.24,0.12,Low,C,0.44,9.6,Eastern,Partial
8.1,0.24,0.32,High,C,0.42,11.8,Eastern,Partial
5.8,0.23,0.2,Low,B,0.39,10.2,Eastern,Partial
7.5,0.33,0.36,Normal,B,0.53,12.7,Eastern,Partial
6.6,0.38,0.36,Moderate,D,0.56,9.4,Southern,Partial
6.4,0.15,0.29,Low,B,0.38,10.2,Southern,Full
6.5,0.32,0.34,Normal,B,0.6,12,Western,Partial
7.5,0.22,0.32,Low,B,0.6,11.3,Western,Partial
6.4,0.23,0.32,Low,B,0.53,11.8,Western,Partial
6.1,0.22,0.31,Low,B,0.59,10.9,Southern,Partial
6.5,0.48,0.02,Low,B,0.47,9.8,Western,Partial
6.4,0.16,0.25,Low,B,0.44,11.1,Western,Full
6.6,0.38,0.36,Moderate,D,0.56,9.4,Southern,Partial
7.4,0.16,0.32,Low,B,0.47,11.4,Eastern,Partial
6.4,0.15,0.29,Low,B,0.38,10.2,Southern,Partial
6.5,0.32,0.3,Low,B,0.52,12.8,Eastern,Partial
6.7,0.12,0.36,Low,B,0.67,10.1,Western,Partial
6.6,0.2,0.14,Normal,C,0.45,9.4,Eastern,Partial
8,0.34,0.25,Moderate,B,0.23,12.2,Eastern,Partial
6.8,0.21,0.31,Normal,B,0.65,10.9,Western,Partial
6.8,0.23,0.31,Normal,B,0.64,10.9,Western,Full
6.8,0.21,0.31,Normal,B,0.65,10.9,Western,Partial
6.6,0.2,0.14,Normal,C,0.45,9.4,Eastern,Full
6.6,0.28,0.42,Moderate,C,0.48,9.4,Southern,Full
7.8,0.25,0.37,Low,B,0.38,11.4,Southern,Partial
6.6,0.28,0.41,Moderate,C,0.48,9.4,Southern,Partial
6.8,0.17,0.35,Low,B,0.57,12,Western,Partial
7.3,0.25,0.28,Low,C,0.56,10.1,Eastern,Partial
6.6,0.28,0.41,Moderate,C,0.48,9.4,Southern,Partial
6.6,0.28,0.42,Moderate,C,0.48,9.4,Southern,Partial
6.5,0.25,0.5,Moderate,C,0.45,9.2,Southern,Partial
6.3,0.24,0.35,Low,B,0.44,11.8,Eastern,Partial
6.8,0.32,0.32,Moderate,B,0.34,12.3,Western,Partial
7.8,0.25,0.37,Low,B,0.38,11.4,Southern,Partial
6.6,0.24,0.28,Moderate,B,0.32,12.3,Eastern,Partial
6.3,0.22,0.34,Normal,B,0.36,13.5,Western,Partial
6,0.32,0.3,Low,B,0.42,12.8,Western,Full
6.3,0.19,0.29,Low,B,0.54,12.8,Western,Partial
6,0.32,0.3,Low,B,0.42,12.8,Western,Partial
6.4,0.35,0.28,High,C,0.43,10.6,Eastern,Partial
6.7,0.46,0.27,Normal,B,0.44,12.4,Western,Partial
6.3,0.3,0.29,Low,B,0.46,12.9,Western,Partial
6,0.19,0.29,Low,B,0.59,11.1,Western,Partial
5.9,0.24,0.28,Low,B,0.64,12.9,Western,Partial
7.3,0.145,0.33,Low,B,0.37,11.8,Western,Partial
6.6,0.435,0.38,Moderate,D,0.54,9.1,Eastern,Partial
5.8,0.18,0.37,Low,B,0.49,12.7,Western,Partial
5.8,0.18,0.37,Low,B,0.48,12,Eastern,Partial
5.6,0.32,0.32,Moderate,C,0.47,11.2,Eastern,Partial
6.6,0.16,0.35,Low,B,0.75,12.4,Western,Partial
5.1,0.21,0.28,Low,B,0.49,10.4,Southern,Partial
7.5,0.29,0.36,High,C,0.54,10.4,Southern,Partial
6,0.26,0.33,Normal,B,0.5,12.7,Eastern,Partial
5.7,0.26,0.3,Low,B,0.52,12.5,Western,Partial
7.1,0.17,0.31,Low,B,0.5,12,Eastern,Partial
6.9,0.17,0.3,Low,B,0.51,11.6,Eastern,Full
6.8,0.25,0.28,Normal,B,0.38,12.6,Western,Partial
6.6,0.17,0.28,Low,B,0.42,10.2,Southern,Partial
5.8,0.17,0.36,Low,B,0.68,10.4,Western,Partial
6.4,0.24,0.29,Low,B,0.42,11.5,Southern,Partial
6.7,0.21,0.34,Low,B,0.5,11,Eastern,Partial
6.7,0.23,0.33,Moderate,C,0.52,10.1,Eastern,Partial
6.8,0.23,0.32,Moderate,C,0.52,10.5,Eastern,Full
6.5,0.22,0.28,Normal,B,0.41,12.1,Western,Partial
5.1,0.165,0.22,Normal,C,0.55,9.9,Eastern,Full
6.6,0.425,0.25,Low,B,0.41,11.4,Eastern,Partial
6.9,0.38,0.29,High,D,0.6,9.5,Eastern,Partial
6.9,0.38,0.29,High,D,0.6,9.5,Eastern,Full
6.9,0.38,0.29,High,D,0.6,9.5,Eastern,Partial
7.2,0.27,0.28,High,C,0.39,10.9,Eastern,Full
7.6,0.17,0.27,Normal,C,0.47,9.5,Eastern,Partial
6.2,0.3,0.31,Low,B,0.54,12.6,Eastern,Partial
7.6,0.17,0.27,Normal,C,0.47,9.5,Eastern,Partial
6.5,0.26,0.32,Moderate,C,0.42,11.1,Southern,Partial
6.9,0.36,0.28,High,D,0.6,9.5,Western,Partial
6.9,0.38,0.29,High,D,0.6,9.5,Eastern,Partial
6.8,0.18,0.24,Moderate,C,0.51,10.6,Eastern,Partial
6.7,0.18,0.24,High,C,0.5,10.6,Eastern,Partial
6.6,0.16,0.21,Moderate,C,0.52,10.8,Eastern,Full
7.2,0.27,0.28,High,C,0.39,10.9,Eastern,Partial
6.4,0.17,0.27,Moderate,C,0.5,9.9,Eastern,Partial
7.2,0.22,0.28,Moderate,C,0.59,11.3,Eastern,Full
6,0.22,0.28,Low,B,0.38,12.6,Eastern,Partial
6.7,0.36,0.28,Moderate,B,0.39,12.5,Eastern,Partial
6.5,0.43,0.28,High,B,0.38,12.4,Eastern,Partial
5.9,0.2,0.28,High,C,0.57,11.8,Western,Partial
5.3,0.32,0.23,Moderate,B,0.53,12.2,Eastern,Partial
6.8,0.2,0.28,High,C,0.37,10.7,Eastern,Partial
6,0.22,0.33,High,C,0.42,11.3,Western,Partial
6.7,0.36,0.28,Moderate,B,0.39,12.5,Eastern,Partial
6.5,0.43,0.28,High,B,0.38,12.4,Eastern,Partial
7.1,0.18,0.49,Low,B,0.53,11.3,Western,Partial
6.4,0.17,0.27,Moderate,C,0.5,9.9,Eastern,Partial
7.2,0.22,0.28,Moderate,C,0.59,11.3,Eastern,Partial
6,0.22,0.28,Low,B,0.38,12.6,Eastern,Partial
6,0.2,0.26,Low,B,0.38,11.5,Eastern,Partial
7.6,0.2,0.26,Normal,B,0.49,12.3,Western,Partial
6.2,0.3,0.21,Low,B,0.42,12.2,Eastern,Partial
6,0.29,0.25,Low,B,0.43,13.2,Eastern,Full
6.6,0.18,0.28,Low,B,0.45,10.2,Eastern,Full
7,0.22,0.28,High,C,0.55,11.5,Western,Partial
6,0.29,0.25,Low,B,0.43,13.2,Eastern,Partial
6.2,0.3,0.21,Low,B,0.42,12.2,Eastern,Partial
5.6,0.15,0.26,Normal,C,0.5,11,Eastern,Partial
6.9,0.28,0.24,Low,B,0.43,13.2,Western,Partial
5.9,0.19,0.21,Low,C,0.44,9.5,Southern,Partial
7.8,0.22,0.26,Moderate,C,0.53,10.2,Eastern,Full
6.6,0.18,0.28,Low,B,0.45,10.2,Eastern,Full
7,0.4,0.25,Low,B,0.55,11.4,Eastern,Partial
7.6,0.36,0.49,High,D,0.43,9.2,Southern,Partial
6.5,0.28,0.34,Normal,B,0.48,12.1,Western,Partial
6.9,0.19,0.35,Moderate,C,0.44,10.7,Western,Partial
6.5,0.28,0.34,Normal,B,0.48,12.1,Western,Partial
6.4,0.22,0.32,Normal,C,0.55,11.2,Eastern,Partial
6.8,0.23,0.3,Moderate,C,0.56,10.6,Eastern,Partial
6.4,0.32,0.31,Low,B,0.45,11.8,Eastern,Partial
7.6,0.36,0.49,High,D,0.43,9.2,Southern,Partial
8.8,0.39,0.35,Low,B,0.54,12.6,Eastern,Full
6.6,0.24,0.3,High,C,0.55,12.8,Western,Partial
6.9,0.29,0.3,Moderate,B,0.37,12.3,Eastern,Partial
6.7,0.38,0.26,Moderate,B,0.37,12.4,Eastern,Partial
8,0.28,0.3,Moderate,B,0.42,12.3,Eastern,Partial
6.5,0.25,0.45,Moderate,C,0.53,9.1,Southern,Full
6.6,0.26,0.46,Moderate,C,0.54,9.1,Southern,Partial
7.4,0.29,0.28,High,C,0.47,10.6,Eastern,Partial
6.3,0.19,0.29,Normal,C,0.47,10.3,Eastern,Partial
6.1,0.33,0.32,Moderate,C,0.65,9.5,Southern,Partial
5.6,0.32,0.33,Moderate,C,0.49,11.1,Eastern,Partial
7.7,0.46,0.18,Normal,C,0.51,10.8,Eastern,Partial
8.8,0.19,0.3,Normal,B,0.47,11.2,Southern,Partial
7.7,0.46,0.18,Normal,C,0.51,10.8,Eastern,Partial
8.8,0.27,0.25,Normal,B,0.49,11.4,Southern,Partial
5.8,0.18,0.28,Low,B,0.52,11.2,Eastern,Partial
5.8,0.15,0.32,Low,B,0.5,10.2,Eastern,Full
5.6,0.32,0.33,Moderate,C,0.49,11.1,Eastern,Full
6.1,0.33,0.32,Moderate,C,0.65,9.5,Southern,Partial
7.1,0.32,0.3,Moderate,C,0.49,10.2,Eastern,Partial
8.9,0.3,0.35,Normal,C,0.45,11.5,Western,Partial
6,0.14,0.17,Normal,C,0.57,9.8,Eastern,Partial
6.8,0.24,0.29,Moderate,C,0.51,10.1,Eastern,Partial
6.7,0.21,0.48,High,D,0.75,8.8,Eastern,Partial
8.9,0.3,0.35,Normal,C,0.45,11.5,Western,Partial
6.1,0.3,0.3,Low,B,0.43,12.7,Western,Full
7.2,0.37,0.4,High,C,0.51,9.8,Eastern,Full
6.7,0.64,0.3,Low,B,0.6,12.9,Western,Partial
7.2,0.37,0.4,High,C,0.51,9.8,Eastern,Partial
6.1,0.3,0.3,Low,B,0.43,12.7,Western,Partial
7.6,0.28,0.49,High,A,0.44,8.5,Southern,Full
7.1,0.18,0.39,High,D,0.78,9.1,Southern,Full
6.4,0.32,0.27,Normal,B,0.71,12.5,Eastern,Partial
7.1,0.17,0.4,High,D,0.78,9.1,Eastern,Partial
7.1,0.17,0.4,High,D,0.78,9.1,Eastern,Partial
5.8,0.24,0.26,High,C,0.5,11.2,Eastern,Partial
6.4,0.32,0.27,Normal,B,0.71,12.5,Eastern,Partial
7.1,0.18,0.39,High,D,0.78,9.1,Southern,Full
7.1,0.17,0.4,High,D,0.78,9.1,Eastern,Partial
7.1,0.18,0.39,High,D,0.77,9.1,Eastern,Partial
7.8,0.29,0.29,Normal,B,0.35,11.5,Southern,Partial
6.2,0.255,0.27,Low,B,0.59,12.9,Western,Partial
8.2,0.34,0.29,Normal,B,0.39,12.5,Eastern,Partial
6.5,0.24,0.28,Low,B,0.33,12.3,Eastern,Full
6.9,0.24,0.23,Moderate,B,0.85,11.4,Eastern,Partial
6.7,0.4,0.22,Moderate,C,0.45,9.4,Southern,Partial
6.7,0.3,0.44,High,D,0.53,9.1,Southern,Partial
6.7,0.4,0.22,Moderate,C,0.45,9.4,Southern,Partial
6.8,0.17,0.32,Low,B,0.66,12,Southern,Partial
7.1,0.25,0.28,Low,B,0.53,11.1,Southern,Partial
5.9,0.27,0.27,Normal,B,0.33,11.8,Western,Partial
6,0.16,0.22,Low,B,0.32,11.4,Eastern,Partial
6.7,0.3,0.44,High,D,0.53,9.1,Southern,Partial
7.3,0.34,0.3,Moderate,C,0.44,10.4,Eastern,Partial
6,0.17,0.29,Moderate,C,0.36,9.2,Eastern,Full
6.7,0.47,0.29,Normal,B,0.46,13,Western,Partial
6.6,0.21,0.29,Normal,B,0.43,11.5,Western,Partial
6.6,0.21,0.29,Normal,B,0.43,11.5,Western,Partial
8,0.24,0.48,Moderate,C,0.7,10,Southern,Partial
5.6,0.34,0.3,Moderate,C,0.49,11.1,Eastern,Partial
5.8,0.54,0,Low,B,0.35,12.4,Southern,Partial
7.3,0.23,0.24,Low,B,0.38,12.2,Eastern,Partial
6,0.39,0.13,Low,B,0.52,10.6,Southern,Partial
6.1,0.105,0.31,Low,B,0.41,11.1,Western,Partial
5.8,0.32,0.2,Normal,B,0.78,13.9,Western,Partial
7.6,0.22,0.28,High,D,0.3,9.2,Eastern,Full
6.8,0.19,0.4,Moderate,C,0.56,10.5,Eastern,Partial
6.8,0.17,0.34,Low,B,0.45,12.9,Eastern,Partial
6.2,0.3,0.31,Low,B,0.39,12.9,Western,Full
6.9,0.29,0.41,Moderate,C,0.51,9.6,Southern,Partial
6.8,0.19,0.34,Low,B,0.45,12.9,Eastern,Partial
6.8,0.17,0.34,Low,B,0.45,12.9,Eastern,Partial
6.6,0.24,0.27,High,C,0.45,8.8,Southern,Partial
7.6,0.22,0.28,High,D,0.3,9.2,Eastern,Partial
6.8,0.19,0.4,Moderate,C,0.56,10.5,Eastern,Partial
6.7,0.16,0.36,Low,C,0.59,10.5,Eastern,Partial
6.5,0.22,0.19,Low,C,0.5,9.5,Eastern,Partial
6.2,0.36,0.45,High,C,0.56,9.8,Eastern,Partial
7.6,0.31,0.24,Low,B,0.44,11.8,Western,Partial
6.2,0.36,0.45,High,C,0.56,9.8,Eastern,Partial
5.9,0.32,0.28,Normal,B,0.57,13.1,Western,Partial
5.8,0.22,0.3,Low,B,0.45,10.4,Southern,Partial
6.1,0.36,0.26,Moderate,B,0.27,13,Western,Partial
7.5,0.21,0.32,Normal,C,0.52,10.2,Western,Partial
6.9,0.28,0.33,Low,B,0.39,11.7,Eastern,Partial
6.5,0.22,0.19,Low,C,0.5,9.5,Eastern,Partial
7.8,0.2,0.2,Low,B,0.46,11.7,Eastern,Full
7.6,0.31,0.24,Low,B,0.44,11.8,Western,Partial
8,0.2,0.44,Low,B,0.32,11.2,Eastern,Partial
6,0.28,0.27,High,C,0.44,13,Western,Partial
6,0.28,0.27,High,C,0.44,13,Western,Partial
6.7,0.24,0.36,Moderate,C,0.52,10.9,Eastern,Partial
6.3,0.22,0.28,Low,B,0.37,11.6,Western,Partial
6,0.24,0.28,Normal,B,0.54,11.3,Western,Full
7.7,0.43,1,High,C,0.5,12,Eastern,Partial
6.4,0.3,0.36,Low,C,0.53,10.5,Eastern,Partial
6.1,0.33,0.3,Normal,B,0.4,13.1,Western,Partial
6,0.28,0.27,High,C,0.44,13,Western,Partial
6.7,0.24,0.36,Moderate,C,0.52,10.9,Eastern,Partial
6.7,0.29,0.45,High,D,0.57,9.1,Southern,Partial
6.9,0.33,0.31,Normal,B,0.48,13.4,Western,Partial
6.5,0.16,0.34,Low,B,0.64,11.5,Western,Partial
6,0.2,0.32,Normal,B,0.68,11.2,Western,Full
7.5,0.33,0.28,Normal,C,0.57,10.9,Eastern,Full
7.1,0.36,0.28,Low,B,0.44,13.5,Western,Partial
6.7,0.29,0.45,High,D,0.57,9.1,Southern,Partial
6.4,0.26,0.25,High,C,0.55,9.9,Eastern,Partial
7,0.22,0.24,High,C,0.56,10.5,Eastern,Partial
6.5,0.19,0.28,Low,B,0.51,11.7,Western,Full
6.3,0.21,0.31,Low,B,0.68,11,Eastern,Partial
7.9,0.35,0.28,High,C,0.43,13,Eastern,Partial
7.7,0.38,0.23,High,B,0.41,13.6,Eastern,Partial
6.8,0.19,0.33,Low,B,0.62,12.3,Western,Full
7.2,0.33,0.34,Low,B,0.53,13.3,Western,Partial
6.6,0.29,0.29,Low,B,0.42,13.7,Western,Partial
7.5,0.2,0.41,Low,B,0.52,11.1,Southern,Partial
6.9,0.33,0.62,Moderate,B,0.43,13.4,Western,Partial
6,0.23,0.15,Moderate,C,0.3,9.1,Southern,Full
5.9,0.23,0.24,Normal,B,0.5,11.3,Western,Full
6.6,0.32,0.41,Moderate,C,0.46,9.4,Southern,Partial
6,0.23,0.15,Moderate,C,0.3,9.1,Southern,Partial
5.3,0.36,0.27,Moderate,B,0.4,11.6,Eastern,Partial
5.3,0.36,0.27,Moderate,B,0.4,11.6,Eastern,Partial
8.9,0.27,0.28,Low,B,0.35,12.4,Eastern,Partial
7.6,0.23,0.29,Moderate,C,0.32,9.8,Eastern,Full
6.9,0.75,0.13,Moderate,C,0.25,11.1,Western,Partial
7.1,0.35,0.27,Normal,B,0.38,13.1,Western,Partial
7.2,0.31,0.35,Moderate,C,0.53,9.7,Southern,Partial
6.4,0.28,0.44,Moderate,C,0.48,9.2,Southern,Partial
7.2,0.23,0.46,Moderate,C,0.78,11.7,Eastern,Full
6.6,0.22,0.3,High,C,0.37,10.6,Eastern,Partial
7.2,0.31,0.35,Moderate,C,0.53,9.7,Southern,Partial
6.4,0.28,0.44,Moderate,C,0.48,9.2,Southern,Partial
7.2,0.24,0.28,Low,B,0.39,10.9,Eastern,Full
6.2,0.27,0.47,Low,B,0.51,10.1,Southern,Full
6.5,0.28,0.25,Normal,B,0.44,12.2,Western,Partial
7.2,0.27,0.31,Low,B,0.33,12.7,Eastern,Partial
7.8,0.28,0.25,Normal,B,0.37,13,Eastern,Full
8.1,0.26,0.27,Normal,B,0.33,11.2,Eastern,Partial
6.6,0.23,0.37,Moderate,C,0.48,9.4,Eastern,Partial
6,0.33,0.2,Low,B,0.53,11,Eastern,Partial
6,0.33,0.2,Low,B,0.53,11,Eastern,Partial
7.3,0.2,0.29,High,A,0.48,9.2,Eastern,Partial
6.6,0.23,0.37,Moderate,C,0.48,9.4,Eastern,Partial
7.3,0.2,0.29,High,A,0.48,9.2,Eastern,Partial
6.2,0.47,0.19,Moderate,B,0.45,12.3,Eastern,Partial
6,0.33,0.2,Low,B,0.53,11,Eastern,Partial
7.2,0.14,0.32,Low,B,0.67,10,Eastern,Full
5.7,0.22,0.22,High,D,0.48,9,Eastern,Partial
5.7,0.22,0.22,High,D,0.48,9,Eastern,Partial
5.7,0.22,0.22,High,D,0.48,9,Eastern,Partial
8.1,0.2,0.28,Low,B,0.36,11.1,Eastern,Partial
5.8,0.14,0.15,Moderate,C,0.6,9.9,Eastern,Partial
4.8,0.21,0.21,High,C,0.48,12.2,Western,Partial
8.1,0.2,0.28,Low,B,0.36,11.1,Eastern,Full
5.7,0.22,0.22,High,D,0.48,9,Eastern,Full
7.5,0.34,0.24,Normal,B,0.36,11.8,Western,Partial
6.6,0.64,0.28,Normal,B,0.62,12.9,Eastern,Partial
7,0.48,0.12,Normal,C,0.35,9,Southern,Partial
7.6,0.37,0.34,Normal,B,0.33,12.4,Eastern,Partial
7,0.48,0.12,Normal,C,0.35,9,Southern,Partial
6.6,0.64,0.28,Normal,B,0.62,12.9,Eastern,Partial
8,0.25,0.27,Moderate,C,0.36,11.2,Eastern,Partial
7.6,0.38,0.28,Normal,B,0.41,12.6,Eastern,Full
6.9,0.26,0.27,Normal,B,0.39,11.5,Eastern,Full
7.8,0.15,0.34,Low,B,0.72,11.3,Western,Full
8,0.25,0.27,Moderate,C,0.36,11.2,Eastern,Partial
6.9,0.26,0.27,Normal,B,0.39,11.5,Eastern,Partial
5.9,0.655,0,Normal,C,0.51,10.5,Western,Partial
7.6,0.38,0.28,Normal,B,0.41,12.6,Eastern,Partial
7.8,0.31,0.4,Low,B,0.48,11.9,Eastern,Partial
8.1,0.17,0.21,Low,C,0.52,10.1,Eastern,Full
6.8,0.18,0.28,Low,B,0.45,11,Western,Partial
7.4,0.28,0.36,High,C,0.56,10.6,Southern,Partial
7.3,0.23,0.27,Normal,B,0.59,11.3,Western,Partial
6.7,0.22,0.22,Low,B,0.37,11.2,Western,Partial
7.4,0.25,0.28,Moderate,B,0.37,11.5,Western,Partial
7.5,0.3,0.21,Moderate,B,0.35,11.1,Southern,Partial
7.2,0.26,0.24,Moderate,B,0.49,12.8,Western,Full
6.3,0.32,0.32,Low,B,0.46,12.3,Eastern,Full
7.7,0.24,0.3,Low,C,0.53,10.4,Eastern,Partial
7.4,0.25,0.28,Moderate,B,0.37,11.5,Western,Partial
7,0.24,0.35,Low,B,0.37,11.7,Western,Partial
5.8,0.28,0.28,Normal,B,0.44,10.7,Western,Partial
6.8,0.19,0.71,High,D,0.5,9.5,Eastern,Partial
6.8,0.19,0.71,High,D,0.5,9.5,Eastern,Partial
6.8,0.19,0.71,High,D,0.5,9.5,Eastern,Partial
6.6,0.19,0.35,Low,B,0.68,12,Western,Full
6.4,0.28,0.36,Low,B,0.45,10.8,Southern,Partial
5.6,0.28,0.27,Normal,B,0.44,10.7,Western,Full
5.6,0.28,0.28,Normal,B,0.44,10.7,Western,Partial
6.8,0.19,0.32,Moderate,C,0.44,10.7,Western,Partial
7.2,0.16,0.29,Low,B,0.4,12.1,Western,Partial
6.6,0.17,0.28,Low,B,0.52,11.9,Western,Partial
6.6,0.19,0.28,High,C,0.37,10.8,Eastern,Partial
5.8,0.2,0.24,Low,B,0.56,12.3,Western,Partial
6.6,0.39,0.38,Moderate,D,0.57,9.4,Eastern,Partial
6.8,0.12,0.3,High,C,0.35,9.9,Eastern,Partial
6.6,0.295,0.24,Low,C,0.61,10.4,Western,Partial
6.6,0.26,0.24,Moderate,C,0.6,10.4,Eastern,Partial
7,0.32,0.27,Moderate,B,0.6,12.6,Western,Partial
7.4,0.36,0.23,Low,B,0.36,12.5,Eastern,Full
6.7,0.35,0.48,Moderate,C,0.47,9.4,Southern,Partial
6.4,0.38,0.24,Moderate,C,0.6,9.2,Southern,Partial
6.8,0.14,0.18,Low,B,0.54,11.2,Eastern,Partial
7,0.16,0.25,High,D,0.46,9.2,Eastern,Partial
7,0.16,0.25,High,D,0.46,9.2,Eastern,Partial
6.7,0.35,0.48,Moderate,C,0.47,9.4,Southern,Partial
6.8,0.14,0.18,Low,B,0.54,11.2,Eastern,Full
6.8,0.16,0.18,Low,B,0.55,10.8,Eastern,Partial
7,0.16,0.25,High,D,0.46,9.2,Eastern,Partial
6.4,0.38,0.24,Moderate,C,0.6,9.2,Southern,Partial
7.2,0.24,0.3,Low,B,0.36,12.5,Eastern,Partial
7.7,0.32,0.61,High,D,0.54,9.3,Southern,Partial
7,0.29,0.33,Low,B,0.5,11.4,Southern,Partial
7.1,0.27,0.24,High,C,0.56,10,Western,Partial
6.8,0.45,0.28,High,A,0.42,10.6,Eastern,Partial
6.3,0.2,0.26,Normal,C,0.75,10.7,Western,Partial
7.1,0.27,0.24,High,C,0.56,10,Western,Partial
7.2,0.24,0.3,Low,B,0.36,12.5,Eastern,Partial
6.8,0.45,0.28,High,A,0.42,10.6,Eastern,Partial
6.6,0.36,0.28,Moderate,B,0.27,12.8,Western,Partial
7.7,0.32,0.61,High,D,0.54,9.3,Southern,Partial
7,0.29,0.33,Low,B,0.5,11.4,Southern,Partial
6.4,0.37,0.2,Normal,C,0.43,9.5,Southern,Partial
6.4,0.38,0.2,Normal,C,0.43,9.5,Eastern,Partial
6.4,0.36,0.2,Normal,C,0.43,9.5,Eastern,Partial
6.6,0.3,0.25,Moderate,C,0.38,10.8,Eastern,Partial
6.6,0.3,0.25,Moderate,C,0.38,10.8,Eastern,Partial
6.5,0.21,0.51,High,D,0.47,8.8,Eastern,Full
6.6,0.3,0.25,Moderate,C,0.38,10.8,Eastern,Partial
7.6,0.31,0.27,Moderate,C,0.38,11,Western,Partial
5.8,0.58,0,Low,B,0.38,12.4,Eastern,Partial
6.5,0.26,0.39,Low,B,0.75,11.3,Western,Partial
8.7,0.3,0.34,Normal,C,0.49,11.2,Western,Partial
6.4,0.29,0.32,Low,B,0.66,12.5,Western,Partial
6.7,0.13,0.32,Normal,C,0.44,10,Eastern,Full
6.8,0.19,0.33,Normal,C,0.56,11,Eastern,Partial
6,0.25,0.4,Normal,C,0.88,10.5,Eastern,Partial
6,0.25,0.4,Normal,C,0.88,10.5,Eastern,Partial
6.8,0.19,0.33,Normal,C,0.56,11,Eastern,Full
